id,plataforma,tematica,titulo,creador,url_directa,url_embed,codigo_embed,edad_recomendada,descripcion
YT_11,YouTube,Entretenimiento para Niños,Daniel Tigre en Español 🎂 El Cumpleaños de Daniel (Episodios Completos),Daniel Tigre en Español - Scholastic,https://www.youtube.com/watch?v=ELN1VqLKMCM,https://www.youtube.com/embed/ELN1VqLKMCM,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/ELN1VqLKMCM?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Daniel Tigre en Español 🎂 El Cumpleaños de Daniel (Episodios Completos)""></iframe>",2-5 años,Inteligencia emocional y empatía
YT_12,YouTube,Entretenimiento para Niños,🐡 Videos Infantiles | Сanciones Infantiles en Español de Dave y Ava 🐡,Dave and Ava - Canciones Infantiles,https://www.youtube.com/watch?v=d09dXHqKq8c,https://www.youtube.com/embed/d09dXHqKq8c,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/d09dXHqKq8c?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""🐡 Videos Infantiles | Сanciones Infantiles en Español de Dave y Ava 🐡""></iframe>",2-5 años,Conteo del 1 al 10 y rimas sonoras
YT_13,YouTube,Entretenimiento para Niños,Pollito Amarillito ORIGINAL - Gallina Pintadita 1 - Oficial - Canciones infantiles,Gallina Pintadita,https://www.youtube.com/watch?v=z1gFMujtH-o,https://www.youtube.com/embed/z1gFMujtH-o,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/z1gFMujtH-o?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Pollito Amarillito ORIGINAL - Gallina Pintadita 1 - Oficial - Canciones infantiles""></iframe>",2-5 años,Ritmo alegre y figuras geométricas
YT_14,YouTube,Entretenimiento para Niños,⭐NUEVO⭐ Parque de Juegos en el Día de los Niños 😄 Blippi Español,Blippi en Español,https://www.youtube.com/watch?v=9jTKiYMwb-4,https://www.youtube.com/embed/9jTKiYMwb-4,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/9jTKiYMwb-4?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""⭐NUEVO⭐ Parque de Juegos en el Día de los Niños 😄 Blippi Español""></iframe>",2-5 años,Exploración de colores y juegos sensoriales
YT_15,YouTube,Entretenimiento para Niños,Las Mejores Canciones Infantiles y Zigalú LooLoo KIDS español | Videos para Bebés,Canciones Infantiles - LooLoo,https://www.youtube.com/watch?v=de0Hlc5SHkg,https://www.youtube.com/embed/de0Hlc5SHkg,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/de0Hlc5SHkg?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Las Mejores Canciones Infantiles y Zigalú LooLoo KIDS español | Videos para Bebés""></iframe>",2-5 años,Reconocimiento de partes del cuerpo y hábitos
YT_16,YouTube,Entretenimiento para Niños,Dinosaurios y Duggee 🦖 | Maratón De Más De 60 Minutos | Hey Duggee Español,Hey Duggee Español - Canal Oficial,https://www.youtube.com/watch?v=tTAew8whLy0,https://www.youtube.com/embed/tTAew8whLy0,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/tTAew8whLy0?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Dinosaurios y Duggee 🦖 | Maratón De Más De 60 Minutos | Hey Duggee Español""></iframe>",2-5 años,Actividades colectivas e insignias de amistad
YT_17,YouTube,Entretenimiento para Niños,Los Octonautas Oficial en Español -  Positivamente impactante! |  Episodios completos,Los Octonautas Oficial en Español,https://www.youtube.com/watch?v=gU0wwx8tG1w,https://www.youtube.com/embed/gU0wwx8tG1w,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/gU0wwx8tG1w?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Los Octonautas Oficial en Español -  Positivamente impactante! |  Episodios completos""></iframe>",2-5 años,Exploración marina y respeto al océano
YT_18,YouTube,Entretenimiento para Niños,Puffin Rock - Cantemos hoy con los amigos,Miguel Toledo,https://www.youtube.com/watch?v=zFK9E2FpMxY,https://www.youtube.com/embed/zFK9E2FpMxY,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/zFK9E2FpMxY?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Puffin Rock - Cantemos hoy con los amigos""></iframe>",2-5 años,Naturaleza suave y narración pausada
YT_19,YouTube,Entretenimiento para Niños,🦆 POCOYÓ en ESPAÑOL - ¡Pato! | CANCIONES INFANTILES | CARICATURAS y DIBUJOS ANIMADOS para niños,Pocoyó 🇪🇸 Español - Canal Oficial,https://www.youtube.com/watch?v=DAoRKGphQhU,https://www.youtube.com/embed/DAoRKGphQhU,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/DAoRKGphQhU?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""🦆 POCOYÓ en ESPAÑOL - ¡Pato! | CANCIONES INFANTILES | CARICATURAS y DIBUJOS ANIMADOS para niños""></iframe>",2-5 años,Coordinación física y pantomima divertida
YT_20,YouTube,Entretenimiento para Niños,El Auto de Papá - Rondas y Clásicos Infantiles 2 | El Reino Infantil,El Reino Infantil,https://www.youtube.com/watch?v=enVHR3HTxas,https://www.youtube.com/embed/enVHR3HTxas,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/enVHR3HTxas?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""El Auto de Papá - Rondas y Clásicos Infantiles 2 | El Reino Infantil""></iframe>",2-5 años,Canciones populares y juego imaginativo
YT_21,YouTube,Entretenimiento para Niños,Las ruedas del autobús - Todas las versiones | Canciones infantiles | LittleBabyBum,Little Baby Bum en Español,https://www.youtube.com/watch?v=TURQjXTwoC4,https://www.youtube.com/embed/TURQjXTwoC4,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/TURQjXTwoC4?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Las ruedas del autobús - Todas las versiones | Canciones infantiles | LittleBabyBum""></iframe>",2-5 años,Sonidos del transporte y ciudad
YT_22,YouTube,Entretenimiento para Niños,[SUPERWINGS2] Prueba de Olfato y más | S2 Compilación EP28~30 | Canal Oficial de Superwings,Super Wings España,https://www.youtube.com/watch?v=EDlfoAHDBrQ,https://www.youtube.com/embed/EDlfoAHDBrQ,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/EDlfoAHDBrQ?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""[SUPERWINGS2] Prueba de Olfato y más | S2 Compilación EP28~30 | Canal Oficial de Superwings""></iframe>",2-5 años,Avioncitos enseñando geografía básica
YT_23,YouTube,Entretenimiento para Niños,Jorge el Curioso en Español 🐵Jorge Compra un Papalote 🐵 Capitulos completos del Mono Jorge,Jorge el Curioso en Español,https://www.youtube.com/watch?v=wDd8qlsTRkk,https://www.youtube.com/embed/wDd8qlsTRkk,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/wDd8qlsTRkk?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Jorge el Curioso en Español 🐵Jorge Compra un Papalote 🐵 Capitulos completos del Mono Jorge""></iframe>",2-5 años,Curiosidad científica y ensayo y error
YT_24,YouTube,Entretenimiento para Niños,Pica-Pica - El Baile de la Fruta (Videoclip Oficial),Pica-Pica Oficial,https://www.youtube.com/watch?v=FPZhCp5pOFE,https://www.youtube.com/embed/FPZhCp5pOFE,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/FPZhCp5pOFE?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Pica-Pica - El Baile de la Fruta (Videoclip Oficial)""></iframe>",2-5 años,Teatro musical y fomento de frutas
YT_25,YouTube,Entretenimiento para Niños,Eddie el Dinosaurio Aprende a Curar Huesos Rotos 🦴💥 - ¡Diversión y Educación!,Aprende con EDDIE - El dinosaurio travieso,https://www.youtube.com/watch?v=NSZNL6omfWg,https://www.youtube.com/embed/NSZNL6omfWg,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/NSZNL6omfWg?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Eddie el Dinosaurio Aprende a Curar Huesos Rotos 🦴💥 - ¡Diversión y Educación!""></iframe>",2-5 años,Mezcla de colores y figuras de plastilina
YT_26,YouTube,Curiosidades y Descubrimientos,Animales Salvajes para Niños (Videos Educativos para Niños),Mundo Divertido de Niños,https://www.youtube.com/watch?v=1MQaVfQCGO8,https://www.youtube.com/embed/1MQaVfQCGO8,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/1MQaVfQCGO8?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Animales Salvajes para Niños (Videos Educativos para Niños)""></iframe>",2-5 años,"Imágenes reales de leones, jirafas y elefantes"
YT_27,YouTube,Curiosidades y Descubrimientos,Cómo nacen los pollitos | Vídeo educativo para niños,guiainfantil,https://www.youtube.com/watch?v=bjFWFZ5Nfgs,https://www.youtube.com/embed/bjFWFZ5Nfgs,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/bjFWFZ5Nfgs?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Cómo nacen los pollitos | Vídeo educativo para niños""></iframe>",2-5 años,Nacimiento de aves y calor del nido
YT_28,YouTube,Curiosidades y Descubrimientos,El Sistema Solar para niños | Planeta a planeta | Recopilación,Smile and Learn - Español,https://www.youtube.com/watch?v=pS7p6FfU4bE,https://www.youtube.com/embed/pS7p6FfU4bE,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/pS7p6FfU4bE?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""El Sistema Solar para niños | Planeta a planeta | Recopilación""></iframe>",2-5 años,Planetas y anillos del sistema solar
YT_29,YouTube,Curiosidades y Descubrimientos,Mundi no puede dormir – Doki - Discovery Kids Latinoamérica,Discovery Kids,https://www.youtube.com/watch?v=M06PNgpdtQ0,https://www.youtube.com/embed/M06PNgpdtQ0,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/M06PNgpdtQ0?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Mundi no puede dormir – Doki - Discovery Kids Latinoamérica""></iframe>",2-5 años,Gotitas de agua y formación del arcoíris
YT_30,YouTube,Curiosidades y Descubrimientos,¿La chancla del reino animal?,CuriosaMente,https://www.youtube.com/watch?v=67wxdPXMPA4,https://www.youtube.com/embed/67wxdPXMPA4,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/67wxdPXMPA4?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""¿La chancla del reino animal?""></iframe>",2-5 años,Por qué ronronean los gatos y mascotas
YT_31,YouTube,Curiosidades y Descubrimientos,CUIDAR de ADORABLES BEBÉS Panda: Es complicado | National Geographic en Español,National Geographic España,https://www.youtube.com/watch?v=7WsWAGue9dc,https://www.youtube.com/embed/7WsWAGue9dc,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/7WsWAGue9dc?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""CUIDAR de ADORABLES BEBÉS Panda: Es complicado | National Geographic en Español""></iframe>",2-5 años,Ositos panda comiendo bambú en el bosque
YT_32,YouTube,Curiosidades y Descubrimientos,Los cinco sentidos para niños - Educación infantil,Smile and Learn - Español,https://www.youtube.com/watch?v=a_EfwFzm1ys,https://www.youtube.com/embed/a_EfwFzm1ys,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/a_EfwFzm1ys?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Los cinco sentidos para niños - Educación infantil""></iframe>",2-5 años,"Vista, oído, tacto, olfato y gusto explicados"
YT_33,YouTube,Curiosidades y Descubrimientos,"Animales Herbívoros, Carnívoros y Omnívoros | Videos Educativos Aula365",FlexFlix Kids en Español,https://www.youtube.com/watch?v=fOYM6mZjIrc,https://www.youtube.com/embed/fOYM6mZjIrc,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/fOYM6mZjIrc?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Animales Herbívoros, Carnívoros y Omnívoros | Videos Educativos Aula365""></iframe>",2-5 años,Qué comen los animales de la granja y selva
YT_34,YouTube,Curiosidades y Descubrimientos,"La Luna, el satélite de la Tierra - El Sistema Solar en 3D para niños",Smile and Learn - Español,https://www.youtube.com/watch?v=A3raAc08xqQ,https://www.youtube.com/embed/A3raAc08xqQ,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/A3raAc08xqQ?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""La Luna, el satélite de la Tierra - El Sistema Solar en 3D para niños""></iframe>",2-5 años,Fases de la luna y por qué brilla de noche
YT_35,YouTube,Curiosidades y Descubrimientos,Exploring the Adorable World of Baby Animals | BBC Earth Kids,BBC Earth Kids,https://www.youtube.com/watch?v=bjRpNYq8Ts0,https://www.youtube.com/embed/bjRpNYq8Ts0,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/bjRpNYq8Ts0?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Exploring the Adorable World of Baby Animals | BBC Earth Kids""></iframe>",2-5 años,Cachorritos dando sus primeros pasos
YT_36,YouTube,Curiosidades y Descubrimientos,"DINOSAURIOS para niños 🦖 Carnívoros, herbívoros y curiosos 🦕 Recopilación",Smile and Learn - Español,https://www.youtube.com/watch?v=P1eCwgvRyxs,https://www.youtube.com/embed/P1eCwgvRyxs,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/P1eCwgvRyxs?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""DINOSAURIOS para niños 🦖 Carnívoros, herbívoros y curiosos 🦕 Recopilación""></iframe>",2-5 años,T-Rex y Triceratops para preescolar
YT_37,YouTube,Curiosidades y Descubrimientos,Aprende los Colores con 5 Huevos Sorpresas de Pocoyó de Plastilina Play Doh,JuguetesFelices,https://www.youtube.com/watch?v=HAsn9e-LDBQ,https://www.youtube.com/embed/HAsn9e-LDBQ,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/HAsn9e-LDBQ?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Aprende los Colores con 5 Huevos Sorpresas de Pocoyó de Plastilina Play Doh""></iframe>",2-5 años,Colores primarios y mezclas sensoriales
YT_38,YouTube,Curiosidades y Descubrimientos,La Germinación | ¿Cómo  Crece Una Planta? | Videos Educativos Para Niños,GuerrerosPlanet,https://www.youtube.com/watch?v=HUKkF8jVYmY,https://www.youtube.com/embed/HUKkF8jVYmY,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/HUKkF8jVYmY?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""La Germinación | ¿Cómo  Crece Una Planta? | Videos Educativos Para Niños""></iframe>",2-5 años,"Agua, tierra y sol haciendo nacer flores"
YT_39,YouTube,Curiosidades y Descubrimientos,¿Cómo hacen la MIEL las ABEJAS? 🍯🐝 (Producción + Extracción de los Panales),EcologíaVerde,https://www.youtube.com/watch?v=Eoz2OiI1zmU,https://www.youtube.com/embed/Eoz2OiI1zmU,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/Eoz2OiI1zmU?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""¿Cómo hacen la MIEL las ABEJAS? 🍯🐝 (Producción + Extracción de los Panales)""></iframe>",2-5 años,Cómo recolectan néctar en las flores
YT_40,YouTube,Curiosidades y Descubrimientos,Ciclo De Vida De Las Mariposas Explicado Para Niños,VisualAvi,https://www.youtube.com/watch?v=RcIqLtbMdes,https://www.youtube.com/embed/RcIqLtbMdes,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/RcIqLtbMdes?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Ciclo De Vida De Las Mariposas Explicado Para Niños""></iframe>",2-5 años,Metamorfosis de oruga a mariposa
YT_41,YouTube,Curiosidades y Descubrimientos,El ciclo del agua para niños - ¿Qué es el ciclo del agua? -  ¿Por qué llueve? - Ciencias para niños,Smile and Learn - Español,https://www.youtube.com/watch?v=3QVj99UGk3Q,https://www.youtube.com/embed/3QVj99UGk3Q,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/3QVj99UGk3Q?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""El ciclo del agua para niños - ¿Qué es el ciclo del agua? -  ¿Por qué llueve? - Ciencias para niños""></iframe>",2-5 años,Viaje del agua desde el mar a las nubes
